tau,R_X_empirica,R_X_teorica
-2.000666888962988,1.999557220312419,1.9995610743920829
-1.9986662220740248,1.9982348746300862,1.9982444902240217
-1.9966655551850618,1.9890211562295046,1.9890364896272623
-1.994664888296099,1.9719524516357707,1.9719734366040778
-1.9926642214071357,1.9470961680638188,1.9471227161304296
-1.9906635545181728,1.9145504672159188,1.9145824680409536
-1.9886628876292098,1.8744438776244194,1.8744811994575832
-1.986662220740247,1.8269347870706587,1.826977277292499
-1.984661553851284,1.7722108170845703,1.7722583028295564
-1.9826608869623208,1.7104880819951895,1.7105403708540161
-1.9806602200733578,1.6420103354581945,1.6420672162565442
-1.978659553184395,1.5670480078309963,1.567109251481552
-1.976658886295432,1.4858971381969444,1.485962498621214
-1.974658219406469,1.398878205256263,1.398947420372548
-1.9726575525175059,1.3063348617007418,1.3064076544742853
-1.970656885628543,1.208632577070339,1.2087086566214187
-1.96865621873958,1.106157194451296,1.10623625721681
-1.966655551850617,0.9993134067156109,0.9993951376596335
-1.964654884961654,0.8885231583194563,0.8886072321877845
-1.962654218072691,0.7742239789721211,0.7743100615859149
-1.960653551183728,0.6568672557560977,0.6569550053395468
-1.958652884294765,0.536916450522011,0.5370055190585082
-1.956652217405802,0.4148452695982044,0.41493530420988967
-1.9546515505168391,0.29113579304310927,0.29122643738826137
-1.952650883627876,0.16627657082830705,0.16636746651092388
-1.950650216738913,0.040760693470779055,0.040851481456968645
-1.94864954984995,-0.08491615526624822,-0.08482583323080017
-1.9466488829609871,-0.21025765591364495,-0.21016815589071133
-1.9446482160720242,-0.3347688133472431,-0.33468048780310833
-1.942647549183061,-0.45795791160864724,-0.4578711080267026
-1.940646882294098,-0.5793384557760686,-0.5792535152904649
-1.9386462154051352,-0.6984310932163991,-0.6983483492721383
-1.9366455485161722,-0.8147655066311714,-0.8146852836757628
-1.9346448816272093,-0.9278822714204416,-0.9278048836324415
-1.932644214738246,-1.037334670029544,-1.0372604200888356
-1.9306435478492832,-1.1426904561135502,-1.14261963401812
-1.9286428809603202,-1.2435335615524477,-1.2434664434865106
-1.9266422140713573,-1.3394657395757306,-1.3394025868333883
-1.9246415471823943,-1.4301081375074376,-1.4300491954761243
-1.9226408802934312,-1.5151027929205794,-1.5150482901283462
-1.9206402134044682,-1.5941140472923927,-1.594064194522577
-1.9186395465155053,-1.6668298715776526,-1.6667848610544667
-1.9166388796265423,-1.732963098465125,-1.7329231031132852
-1.9146382127375794,-1.7922525564507625,-1.7922177292319776
-1.9126375458486162,-1.844464101248999,-1.8444345745778667
-1.9106368789596533,-1.8893915404689183,-1.8893674257104836
-1.9086362120706903,-1.92685744790359,-1.9268388349544658
-1.9066355451817274,-1.9567138642168054,-1.9567008211713801
-1.9046348782927645,-1.978842881260082,-1.9788354541631104
-1.9026342114038013,-1.9931571077123627,-1.9931553203987882
-1.9006335445148383,-1.9996000142035213,-1.999603868226083
-1.8986328776258754,-1.9981461565587197,-1.9981556312035729
-1.8966322107369125,-1.98880127628199,-1.9888163286721519
-1.8946315438479495,-1.9716022778822042,-1.9716228431683631
-1.8926308769589864,-1.946617083130986,-1.9466430747688126
-1.8906302100700234,-1.9139443628281152,-1.9139756729409207
-1.8886295431810605,-1.8737131471337347,-1.8737496469589472
-1.8866288762920975,-1.8260823160062205,-1.8261238564238278
-1.8846282094031346,-1.771239971758062,-1.7712863838988746
-1.8826275425141714,-1.709402696207643,-1.7094537921389048
-1.8806268756252085,-1.6408146953605494,-1.6408702688460979
-1.8786262087362455,-1.5657468349982067,-1.565806662330091
-1.8766255418472826,-1.4844955709824776,-1.4845594118807663
-1.8746248749583194,-1.3973817785006224,-1.3974493770776604
-1.8726242080693565,-1.3047494848741397,-1.3048205706595204
-1.8706235411803935,-1.2069645109358405,-1.2070387999579004
-1.8686228742914306,-1.1044130263405911,-1.1044902222601074
