realizacion,promedio_temporal,autocorrelacion_temporal_tau
1,-0.0014101212679514888,-1.9977545543389645
2,0.0019048676763933265,-2.0006988666274257
3,-0.00022578841265909232,-1.9942763728704018
4,-0.0016278852676160085,-1.9989422192494337
5,0.0011135566643050332,-1.9964109469549873
6,0.0011138084267230113,-1.9964119536581812
7,0.001868283144568416,-2.000451055499757
8,0.0013336740692165775,-1.997377995863624
9,-0.0016097585067403344,-1.9988368610339837
10,-0.0005208024921959833,-1.9946717800722054
11,0.0019832954548261767,-2.0012463028472527
12,0.0019643619149362765,-2.001112122037697
13,0.0009902911655695732,-1.995945387663502
14,0.00046885642130809656,-1.9945794894909092
15,0.0008307524630098087,-1.9954238261419466
16,0.0008126561018824674,-1.9953704366316476
17,-0.0006685088883628367,-1.9949871454506858
18,-0.001975853177737413,-2.0011934063665358
19,-0.0018199255339939207,-2.0001308716250037
20,-0.0005123253650439068,-1.9946560575612355
21,-0.0015260805048350826,-1.9983657923898963
22,0.0012797422467374987,-1.9971249653881997
23,-0.0005234375779407543,-1.9946767199276771
24,-0.0013354121262349422,-1.9973863239602587
25,-0.0019242952040764364,-2.0008324155884742
26,0.00043844415902356105,-1.9945299537055339
27,0.0006219314244127645,-1.9948792426052937
28,-0.0019920062438434235,-2.0013084679600746
29,-0.0016722038904601923,-1.9992047807628508
30,0.001915422679163907,-2.000771255841367
31,-0.0015605083499231399,-1.9985565613713074
32,0.0009577304868799992,-1.9958315184383264
33,0.001835251669427132,-2.00023143972205
34,0.0018977387283950727,-2.000650200592982
35,0.001953550701424472,-2.0010360809488827
36,0.0007174868444545765,-1.995109011206895
37,-0.0006729072667338514,-1.9949977373844499
38,0.0016350548290992358,-1.9989842164972798
39,-0.0008031319102105954,-1.9953428097640977
40,-0.0018602575525397107,-2.0003973356110905
41,0.0014402847263629824,-1.9979089044669933
42,-0.0019990817155878114,-2.0013591630429417
43,0.0019534953420355344,-2.001035692656424
44,0.0016840644667552595,-1.9992762438226104
45,-0.00011027654852272662,-1.9942066831111849
46,-0.0010447583514208993,-1.9961443766569529
47,-0.000756198240425185,-1.9952114259919296
48,-0.0019841220891533523,-2.001252190476885
49,-0.0019144805184202198,-2.00076477797568
50,0.0007959739907386591,-1.9953222611199595
51,0.00196358973357874,-2.001106676953715
52,0.00031451737903350364,-1.994362437396608
53,0.0018572258691004642,-2.0003771029955675
54,0.001578979345209458,-1.9986606655637833
55,-0.001633404132025845,-1.998974530829811
56,0.001763837997147416,-1.9997700231696598
57,0.0016987305332982672,-1.9993653091088905
58,0.0006658421649807878,-1.9949807574168377
59,0.001919788559667195,-2.0008013152388346
60,-0.0009116776615838376,-1.9956769646882158
61,-0.001530378338585102,-1.9983893747518722
62,-0.0002674760193082761,-1.994313288127724
63,0.0009495746380097359,-1.9958035924544886
64,-0.0012431488201103847,-1.9969592279143982
65,-0.0003862914898539174,-1.9944527371464562
66,-0.0019284631756393401,-2.000861243664449
67,0.0012658776754271947,-1.9970616048082193
68,0.0006442311112278674,-1.994929930862558
69,0.0017845695258865853,-1.999902087020421
70,0.0019932154294324037,-2.00131711892564
71,0.00027862677662406554,-1.994324220084378
72,0.0006333630115995916,-1.9949050041128285
73,0.001998796274682032,-2.0013571144065456
74,0.0007996140182893612,-1.995332687764587
75,-0.0005355314025806166,-1.9946997113608012
76,-0.0002630394246341368,-1.9943090627365399
77,0.0002664960832210781,-1.994312348760385
78,0.0017874311855368746,-1.9999204375521797
79,-0.0012599333054056602,-1.9970346506471455
80,0.0014929776727368883,-1.9981863786206424
81,0.0013046528090580125,-1.9972405397675148
82,-0.0014292548679571376,-1.9978520844582914
83,-0.0009733810027769323,-1.995885775359113
84,0.0018426287037713908,-2.0002801475251424
85,-0.0007477123731843349,-1.9951885153427942
86,-0.0009100330017673315,-1.995671586021691
87,-0.00025557558004697255,-1.9943021136646815
88,-0.0012983468419705063,-1.9972110721552614
89,0.00151846508866457,-1.9983241692095186
90,-0.001969599580839535,-2.001149112267926
91,0.0014614229201342574,-1.9980190179920507
92,-0.00045778497388319293,-1.994561071797623
93,0.0001354252165332852,-1.9942177759423023
94,-0.0018535848566554715,-2.000352847502711
95,0.00026271986872197317,-1.99430876112153
96,-0.0019984804855887324,-2.0013548482991825
97,-0.001979632945139233,-2.0012202464633178
98,-0.0017962818593482979,-1.9999773790254773
99,0.0019745459074674673,-2.0011841353897566
100,0.001557780643199898,-1.9985412915774912
101,0.001961130030141085,-2.001089346475871
102,-0.0013092771887389851,-1.9972622401093003
103,-0.0007868619283463048,-1.9952963687550576
104,-0.0019971007446090406,-2.001344951456547
105,0.001672073195439264,-1.9992039961048058
106,8.894081509822627e-06,-1.9941849935269365
107,-0.0016912293341758656,-1.9993196587298432
108,6.974352137463314e-05,-1.994193583780596
109,0.00026564278646667105,-1.9943115335978454
110,0.001770580040850099,-1.999812801971378
111,-0.0004943539595588149,-1.9946235793330098
112,0.001058664139943069,-1.9961968865665767
113,0.0018080331292348326,-2.000053416323441
114,0.0007142369447563581,-1.9951006580942956
115,-0.001337603425503591,-1.9973968392759667
116,0.0013824160934503026,-1.9976156617672887
117,0.0006617518004565425,-1.9949710087232604
118,0.0007761501803781527,-1.995266312018463
119,0.0015613242603826833,-1.9985611340559435
120,-0.0019392053519216824,-2.000935830238351
121,0.0007062461533897206,-1.9950802808712444
122,0.0015886780196761449,-1.9987158186372351
123,-0.000828790904100174,-1.9954179821568694
124,0.0015406104825698285,-1.998445785780037
125,0.00027638755824781213,-1.9943219889805222
126,-0.0017938813835170536,-1.9999619075878468
127,0.0008289200322724284,-1.995418366437897
128,0.0012819084356246791,-1.9971349271319876
129,0.001998092227802246,-2.0013520626460966
130,-0.0019954417971008755,-2.0013330609232343
131,-0.0017367086524652073,-1.9995995349757643
132,0.00034871216343833566,-1.9944031513120029
133,0.001459094879967651,-1.9980068121017165
134,-0.0010462308703480972,-1.9961499041959696
135,0.0018727017228334973,-2.00048073028881
136,-0.0008878022829604077,-1.9955998359164957
137,-0.001986076850151447,-2.0012661228491906
138,-0.0005818443981397365,-1.9947926125494917
139,-0.0013096572548522828,-1.9972640270202673
140,0.0019686475351255216,-2.00114238126309
141,0.0019445851206639838,-2.000973339501807
142,-2.239652176837126e-05,-1.9941857520090398
143,-0.0019997011274051992,-2.0013636096263556
144,-0.0006285214937389511,-1.9948940362936192
145,-0.00043433012985248355,-1.994523507733043
146,0.0019465238363157303,-2.000986882245071
147,-0.0015445104386322549,-1.9984673856453006
148,-0.0019997166635551266,-2.001363721173719
149,0.0018962886938127745,-2.000640324209088
150,-0.0003580415226433331,-1.994414988240771
